imdb_id,popularity,budget,revenue,title,runtime,release_date
tt1014763,1.95632,50000000,3324330,Child 44,137,3/15/2015
tt4178092,1.926739,5000000,58978653,The Gift,108,7/30/2015
tt1528854,1.904898,50000000,240360392,Daddy's Home,96,12/25/2015
tt3608646,1.876037,0,0,Mythica: The Necromancer,0,12/19/2015
tt3480796,1.872696,10000000,0,Vice,96,1/16/2015
tt1754656,1.865007,64000000,97571250,The Little Prince,92,7/29/2015
tt2974918,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,92,12/17/2015
tt2910904,1.82313,11930000,18340000,The Dressmaker,118,10/1/2015
tt1666801,1.758618,8500000,43528634,The DUFF,100,2/20/2015
tt2752772,1.742286,10000000,52882018,Sinister 2,97,8/19/2015
tt3450650,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,94,4/16/2015
tt4007502,1.72471199999999,0,0,Frozen Fever,8,3/9/2015
tt0462335,1.661789,0,0,High-Rise,119,9/26/2015
tt3181822,1.65107799999999,4000000,50163103,The Boy Next Door,91,1/23/2015
tt3321300,1.646664,0,0,Spooks: The Greater Good,104,4/11/2015
tt1674771,1.532997,30000000,49263404,Entourage,104,6/3/2015
tt0884732,1.510096,23000000,79799880,The Wedding Ringer,101,1/16/2015
tt1727776,1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,93,10/23/2015
tt3567288,1.495112,5000000,98450062,The Visit,94,9/10/2015
tt1355683,1.48324599999999,53000000,99775678,Black Mass,122,9/4/2015
tt3276924,1.449072,8900000,50136,Heist,93,11/13/2015
tt3850590,1.448002,15000000,61548707,Krampus,98,11/26/2015
tt2402101,1.443406,20000000,208588,Dark Places,113,3/31/2015
tt1781922,1.41239,5000000,54418872,No Escape,103,8/26/2015
tt3850214,1.40805,700000,17986781,Dope,103,6/19/2015
tt3316948,1.388251,28000000,28208085,American Ultra,96,8/19/2015
tt2404425,1.388032,11000000,61619773,Woman in Gold,120,4/10/2015
tt3086386,1.38032,0,0,The Scorpion King: The Lost Throne,105,1/9/2015
tt1850457,1.376605,30000000,105011053,Sisters,118,12/18/2015
tt2436386,1.360926,12000000,32248241,Project Almanac,106,1/30/2015
tt1727770,1.360827,0,5189646,Absolutely Anything,85,6/26/2015
tt2938956,1.355822,25000000,72629670,The Transporter Refueled,96,9/3/2015
